question,topic,intent,difficulty,answer
What's the purpose of splay tree?,Data Structures,splay tree,Advanced,Self-adjusting BST that moves accessed elements closer to root. Recently accessed elements are fast to access again.
object definition,Object-Oriented Programming,object,Intermediate,Instance of a class. Has state (attribute values) and behavior (methods). Multiple objects from one class.
Can you describe stack?,Data Structures,stack,Beginner,"LIFO (Last In First Out) data structure. Operations: push (add), pop (remove), peek (view top). Used in recursion, undo mechanisms."
What's the purpose of greedy algorithm?,Algorithms,greedy algorithm,Intermediate,"Makes locally optimal choice at each step. Doesn't always give global optimum. Examples: Dijkstra, Huffman coding."
Node.js definition,Web Development,Node.js,Intermediate,"JavaScript runtime for server-side development. Asynchronous, event-driven. Uses V8 engine. NPM package manager. Enables full-stack JS."
Show me how to use if statement,Python Basics,if statement,Beginner,Conditional statement that executes code based on whether a condition is True or False. Syntax: if condition: # code block. Can include elif and else clauses.
What is continuous deployment?,Software Engineering,continuous deployment,Intermediate,"Automatically deploying code to production after passing tests. Extension of CI/CD. Reduces manual work, speeds releases."
Why should I learn while loop?,Python Basics,while loop,Beginner,Loop that continues executing while a condition is True. Syntax: while condition: # code block. Be careful to avoid infinite loops.
I want to learn about radix sort,Algorithms,radix sort,Intermediate,Non-comparison sort that processes digits. Sorts numbers digit by digit. O(d(n+k)) where d is digits.
regression definition,Machine Learning,regression,Beginner,"Predicting continuous numerical values. Examples: house price, temperature, stock price. Output is a number."
Help me understand backpropagation,Deep Learning,backpropagation,Beginner,Algorithm for computing gradients of loss with respect to weights. Uses chain rule backwards through network. Enables gradient descent training.
Explain how SMOTE works,Machine Learning,SMOTE,Advanced,Synthetic Minority Over-sampling Technique creates synthetic examples by interpolating between minority class instances. Addresses class imbalance.
software testing definition,Software Testing,software testing,Intermediate,"Evaluating software to find defects. Ensures quality, correctness. Types: unit, integration, system, acceptance. Can be manual or automated."
What do you mean by React?,Web Development,React,Intermediate,JavaScript library for building user interfaces. Component-based architecture. Virtual DOM for efficient updates. Created by Facebook. Very popular.
Why is array important?,Data Structures,array,Beginner,"A contiguous block of memory storing elements of the same type. Fixed size. O(1) access by index, O(n) search. Foundation for other data structures."
Could you tell me about loss function?,Deep Learning,loss function,Beginner,Measures difference between predictions and actual values. Regression: MSE. Classification: cross-entropy. Optimization minimizes loss.
metaclass programming definition,Python Programming,metaclass programming,Advanced,"Using metaclasses to customize class creation. Can add methods, validate attributes, or implement patterns like Singleton."
Help me understand optical flow,Computer Vision,optical flow,Intermediate,"Estimating motion of objects between frames. Used in video analysis, tracking, autonomous driving. Methods: Lucas-Kanade, Farneback."
Explain red-black tree,Data Structures,red-black tree,Intermediate,Self-balancing BST with colored nodes. Less strictly balanced than AVL but faster insertions/deletions.
object definition,Python Basics,object,Beginner,An instance of a class. Created by calling the class like a function: obj = MyClass(). Has its own data and behavior.
What exactly is abstract class?,Python Programming,abstract class,Intermediate,A class that cannot be instantiated and requires subclasses to implement specific methods. Use abc module.
Tell me about BFS,Algorithms,BFS,Intermediate,Breadth-First Search explores graph level by level using queue. Finds shortest path in unweighted graphs. O(V+E) time.
word embedding definition,Deep Learning,word embedding,Advanced,Dense vector representation of words. Captures semantic relationships. Word2Vec and GloVe are popular. BERT produces contextual embeddings.
Tell me about selection sort,Algorithms,selection sort,Intermediate,"Finds minimum element and swaps with first position, then repeats for remaining elements. O(n²) time. Good for small arrays."
hyperparameter tuning definition,Machine Learning,hyperparameter tuning,Advanced,"Optimizing hyperparameters (not learned from data). Methods: grid search (exhaustive), random search, Bayesian optimization, genetic algorithms. Use cross-validation."
How would you explain neural network?,Deep Learning,neural network,Beginner,"Inspired by biological neurons. Consists of layers: input, hidden, output. Nodes connected by weighted edges. Learns through backpropagation."
Tell me about static method,Object-Oriented Programming,static method,Intermediate,"Belongs to class, not instances. Called on class, not object. Cannot access instance variables. Uses class name."
I want to learn about rebase,Git & Version Control,rebase,Intermediate,Re-applying commits on top of another base. Alternative to merge. Creates linear history. git rebase. Don't rebase public branches.
Explain convolution,Deep Learning,convolution,Intermediate,"Operation that applies filters to input to extract features. Filter slides across input, computing dot product. Learns features like edges, textures, patterns."
Help me understand stress testing,Software Testing,stress testing,Intermediate,Testing system beyond normal load. Finds breaking point. Checks error handling. Recovery after failure.
What do you mean by precision-recall curve?,Machine Learning,precision-recall curve,Advanced,Plots precision vs recall at various thresholds. Better than ROC for imbalanced datasets. Area under curve indicates quality.
How does activation function work?,Deep Learning,activation function,Beginner,"Introduces non-linearity. Common: ReLU (most popular), sigmoid (0 to 1), tanh (-1 to 1), softmax (multi-class). Enables learning complex patterns."
Help me understand AutoML,Machine Learning,AutoML,Advanced,"Automated Machine Learning automates model selection, hyperparameter tuning, and feature engineering. Tools: Auto-sklearn, TPOT, H2O AutoML."
Help me understand virtual memory,Operating Systems,virtual memory,Intermediate,Technique using disk space as RAM extension. Allows programs larger than physical memory. Uses paging. Improves multitasking.
Could you tell me about learning rate?,Machine Learning,learning rate,Intermediate,Hyperparameter controlling step size in gradient descent. Too large: overshoots minimum. Too small: slow convergence. Typical values: 0.001 to 0.1.
regression definition,Machine Learning,regression,Beginner,"Predicting continuous numerical values. Examples: house price, temperature, stock price. Output is a number."
Define dropout,Deep Learning,dropout,Intermediate,Regularization that randomly zeros neuron outputs during training. Prevents overfitting by reducing co-adaptation. Typically p=0.5. Disabled during inference.
Explain heap sort,Algorithms,heap sort,Intermediate,"Uses heap data structure to sort. Build max heap, repeatedly extract maximum. O(n log n) time. Not stable."
Tell me about XSS,Cybersecurity,XSS,Intermediate,"Cross-Site Scripting injects malicious scripts in web pages. Steals cookies, session tokens. Prevention: input validation, output encoding."
I want to learn about ResNet,Computer Vision,ResNet,Intermediate,"Residual Network uses skip connections. Enables training very deep networks. Won ImageNet 2015. Variants: ResNet-50, ResNet-101."
transformer definition,Deep Learning,transformer,Advanced,"Architecture based on attention mechanisms. Components: multi-head self-attention, position encoding, feed-forward networks. Powers BERT, GPT. Enables parallel processing."
I want to learn about orchestration,DevOps,orchestration,Intermediate,"Automating deployment, scaling, management of containers. Kubernetes is most popular. Handles load balancing, self-healing, rolling updates."
Explain how hyperparameter tuning works,Machine Learning,hyperparameter tuning,Advanced,"Optimizing hyperparameters (not learned from data). Methods: grid search (exhaustive), random search, Bayesian optimization, genetic algorithms. Use cross-validation."
Tell me about feature selection,Machine Learning,feature selection,Intermediate,"Choosing relevant features and removing irrelevant ones. Methods: filter (statistical tests), wrapper (model performance), embedded (L1 regularization)."
Why do we use RNN?,Deep Learning,RNN,Intermediate,"Recurrent Neural Network processes sequences by maintaining hidden state. Suitable for time series, text, speech. Challenges: vanishing/exploding gradients."
I want to learn about encryption,Cybersecurity,encryption,Intermediate,"Converting plaintext to ciphertext. Protects confidentiality. Symmetric (same key) and asymmetric (public/private keys). AES, RSA common."
VPN definition,Cybersecurity,VPN,Intermediate,"Virtual Private Network encrypts internet connection. Creates secure tunnel. Hides IP address. Useful for remote access, privacy."
Explain weak reference,Python Programming,weak reference,Advanced,A reference that doesn't increase the reference count. Allows objects to be garbage collected. Use weakref module.
I want to learn about bagging,Machine Learning,bagging,Intermediate,Bootstrap Aggregating trains models on random samples with replacement and averages predictions. Reduces variance. Random Forest uses bagging.
Can you explain what composition is?,Object-Oriented Programming,composition,Intermediate,Has-a relationship. Object contains other objects. More flexible than inheritance. Favored over inheritance in many designs.
Explain F1 score,Machine Learning,F1 score,Beginner,Harmonic mean of precision and recall. 2 * (precision * recall) / (precision + recall). Balances precision and recall.
Help me understand code splitting,Performance Optimization,code splitting,Advanced,"Breaking code into smaller bundles. Load only what's needed. Improves initial load time. Common in React, webpack."
Explain object-oriented programming,Object-Oriented Programming,object-oriented programming,Intermediate,"Programming paradigm based on objects. Objects contain data (attributes) and behavior (methods). Principles: encapsulation, inheritance, polymorphism, abstraction."
Explain polymorphism,Object-Oriented Programming,polymorphism,Intermediate,"Same interface, different implementations. Types: compile-time (overloading), runtime (overriding). Enables flexibility and extensibility."
How can I use thread?,Operating Systems,thread,Intermediate,Lightweight process. Threads within process share memory. Concurrent execution. Context switching faster than processes.
Explain data augmentation,Deep Learning,data augmentation,Intermediate,"Artificially increasing dataset size by applying transformations: rotation, flip, crop, color jitter. Improves generalization, reduces overfitting."
I want to learn about scheduling,Operating Systems,scheduling,Intermediate,"Deciding which process runs on CPU. Algorithms: FCFS (First Come First Serve), SJF (Shortest Job First), Round Robin, Priority."
Tell me about NoSQL,Database Systems,NoSQL,Intermediate,"Non-relational databases for unstructured/semi-structured data. Types: document (MongoDB), key-value (Redis), column (Cassandra), graph (Neo4j)."
Explain how reward works,Reinforcement Learning,reward,Intermediate,Scalar feedback signal indicating action quality. Agent goal is maximizing cumulative reward. Reward shaping impacts learning.
What exactly is SMOTE?,Machine Learning,SMOTE,Advanced,Synthetic Minority Over-sampling Technique creates synthetic examples by interpolating between minority class instances. Addresses class imbalance.
Explain range function,Python Basics,range function,Beginner,"Generates sequence of numbers. range(stop), range(start, stop), range(start, stop, step). Used in for loops. Returns range object."
What is slots?,Python Programming,slots,Advanced,Using __slots__ to declare fixed set of attributes. Saves memory and improves attribute access speed.
I want to learn about interface,Object-Oriented Programming,interface,Intermediate,Contract defining methods class must implement. No implementation (abstract). Class can implement multiple interfaces.
Tell me about for loop,Python Basics,for loop,Beginner,"Loop that iterates over a sequence (list, tuple, string, range). Syntax: for item in sequence: # code block. Commonly used with range() function."
Can you describe unit testing?,Software Engineering,unit testing,Intermediate,"Testing individual components in isolation. Automated tests written by developers. Fast feedback. Frameworks: JUnit, pytest, Jest."
Explain lazy loading to me,Performance Optimization,lazy loading,Advanced,Loading data only when needed. Reduces initial load time. Improves performance. Opposite of eager loading.
Explain batch normalization,Deep Learning,batch normalization,Intermediate,"Normalizes layer inputs for each mini-batch. Reduces internal covariate shift. Benefits: faster training, higher learning rates, regularization effect."
Can you explain what hyperparameter tuning is?,Machine Learning,hyperparameter tuning,Advanced,"Optimizing hyperparameters (not learned from data). Methods: grid search (exhaustive), random search, Bayesian optimization, genetic algorithms. Use cross-validation."
Tell me about adjacency list,Data Structures,adjacency list,Intermediate,Array of lists representing graph. Each vertex has a list of adjacent vertices. Space: O(V+E). Good for sparse graphs.
I want to learn about tag,Git & Version Control,tag,Intermediate,Named reference to specific commit. Used for releases. git tag v1.0. Lightweight or annotated tags.
Tell me about derivative,Mathematics for AI,derivative,Beginner,Rate of change of function. Used in gradient descent to minimize loss. Computed via backpropagation in neural networks.
What is deque?,Data Structures,deque,Beginner,Double-ended queue. Can add/remove from both ends. Supports both stack and queue operations.
I want to learn about caching,Performance Optimization,caching,Advanced,"Storing frequently accessed data for fast retrieval. Reduces database load. Types: in-memory (Redis), CDN, browser. Invalidation strategies important."
What are the key concepts of recall?,Machine Learning,recall,Beginner,"Of actual positives, how many were predicted. TP / (TP + FN). Important when false negatives are costly. Also called sensitivity."
How does metaclass programming work?,Python Programming,metaclass programming,Advanced,"Using metaclasses to customize class creation. Can add methods, validate attributes, or implement patterns like Singleton."
What do you mean by object-oriented programming?,Object-Oriented Programming,object-oriented programming,Intermediate,"Programming paradigm based on objects. Objects contain data (attributes) and behavior (methods). Principles: encapsulation, inheritance, polymorphism, abstraction."
Tell me about function,Python Basics,function,Beginner,A reusable block of code defined with the 'def' keyword. Can accept parameters and return values. Helps organize code and avoid repetition.
Why should I learn active learning?,Machine Learning,active learning,Advanced,"Model requests labels for most informative examples. Reduces labeling cost. Strategies: uncertainty sampling, query by committee, expected model change."
Tell me about configuration management,DevOps,configuration management,Intermediate,"Automating server configuration. Ensures consistency. Tools: Ansible, Puppet, Chef. Uses playbooks or recipes."
I want to learn about end-to-end testing,Software Testing,end-to-end testing,Intermediate,"Testing complete workflow from start to finish. Simulates real user scenarios. Tools: Selenium, Cypress, Playwright."
What are the key concepts of JavaScript?,Web Development,JavaScript,Intermediate,"Programming language that adds interactivity to web pages. Runs in browser. Manipulates DOM, handles events, makes API calls. Core of modern web."
What's the purpose of blue-green deployment?,DevOps,blue-green deployment,Intermediate,"Running two identical environments. Blue is live, green is new version. Switch traffic to green. Easy rollback to blue."
Explain process,Operating Systems,process,Intermediate,"Program in execution. Has process ID, memory space, open files. States: new, ready, running, waiting, terminated."
How do you implement TF-IDF?,Natural Language Processing,TF-IDF,Intermediate,Term Frequency-Inverse Document Frequency weighs word importance. High for frequent in document but rare in corpus. Used in information retrieval.
I want to learn about pagination,Performance Optimization,pagination,Advanced,Dividing results into pages. Prevents loading too much data. Cursor-based or offset-based. Improves response time.
Explain naive bayes,Machine Learning,naive bayes,Intermediate,"Probabilistic classifier based on Bayes' theorem with independence assumption. Fast and works well with high dimensions. Used in spam filtering, text classification."
Help me understand RESTful API,API Design,RESTful API,Intermediate,"API following REST principles. Resources identified by URLs. CRUD operations via HTTP methods: GET, POST, PUT, DELETE."
Tell me about microservices,Cloud Computing,microservices,Intermediate,Architectural style with loosely coupled services. Each service handles specific function. Independent deployment. Scales independently.
What does authentication mean?,API Design,authentication,Intermediate,"Verifying API client identity. Methods: API keys, OAuth, JWT tokens. Passed in headers or query parameters."
I want to learn about singly linked list,Data Structures,singly linked list,Beginner,Each node points to the next node. Traversal is unidirectional. Last node points to null.
I want to learn about edge detection,Computer Vision,edge detection,Intermediate,"Identifying boundaries in images. Classical: Sobel, Canny. Used as preprocessing step. Highlights important features."
Provide details on unsupervised learning,Machine Learning,unsupervised learning,Beginner,"Learning from unlabeled data to find patterns. No predefined outputs. Tasks: clustering, dimensionality reduction, anomaly detection."
batch definition,Deep Learning,batch,Beginner,Subset of training data processed together. Full batch uses all data. Mini-batch uses small subset. Batch size affects speed and convergence.
Define RNN,Deep Learning,RNN,Intermediate,"Recurrent Neural Network processes sequences by maintaining hidden state. Suitable for time series, text, speech. Challenges: vanishing/exploding gradients."
Help me understand circular linked list,Data Structures,circular linked list,Beginner,"Last node points back to the first node, forming a circle. No null pointers. Useful for round-robin scheduling."
Tell me about smoke testing,Software Testing,smoke testing,Intermediate,Quick check if major functions work. Build verification test. Shallow and broad. Determines if detailed testing should proceed.
Why should I learn firewall?,Cybersecurity,firewall,Intermediate,"Network security system filtering traffic. Rules based on IP, port, protocol. Can be hardware or software. First line of defense."
Tell me about thread,Operating Systems,thread,Intermediate,Lightweight process. Threads within process share memory. Concurrent execution. Context switching faster than processes.
How do you implement segment tree?,Data Structures,segment tree,Advanced,Tree for range queries. Each node represents an interval. Allows O(log n) query and update. Used for range sum/min/max queries.
Help me understand stop words,Natural Language Processing,stop words,Intermediate,"Common words with little meaning (the, is, a). Often removed in preprocessing. Depends on task - keep for sentiment analysis."
What is AutoML?,Machine Learning,AutoML,Advanced,"Automated Machine Learning automates model selection, hyperparameter tuning, and feature engineering. Tools: Auto-sklearn, TPOT, H2O AutoML."
Tell me about dictionary methods,Python Basics,dictionary methods,Beginner,"Dictionaries have methods: keys(), values(), items(), get(), update(), pop(), clear(). items() returns key-value pairs."
Help me understand reinforcement learning,Machine Learning,reinforcement learning,Beginner,"Learning by interacting with environment. Agent takes actions and receives rewards. Goal: maximize cumulative reward. Used in games, robotics."
I want to learn about slots,Python Programming,slots,Advanced,Using __slots__ to declare fixed set of attributes. Saves memory and improves attribute access speed.
Why do we use GCP?,Cloud Computing,GCP,Intermediate,"Google Cloud Platform. Strong in data analytics and ML. Services: Compute Engine, Cloud Storage, BigQuery, TensorFlow on GCP."
Tell me about neuron,Deep Learning,neuron,Beginner,"Basic unit in neural network. Computes weighted sum of inputs plus bias, applies activation function. Output becomes input for next layer."
How do you implement tag?,Git & Version Control,tag,Intermediate,Named reference to specific commit. Used for releases. git tag v1.0. Lightweight or annotated tags.
I want to learn about sequence-to-sequence,Deep Learning,sequence-to-sequence,Advanced,"Maps input sequence to output sequence. Encoder processes input, decoder generates output. Used in machine translation, summarization."
I want to learn about iterator,Python Programming,iterator,Intermediate,An object that implements __iter__() and __next__() methods. Allows sequential access to elements without loading all into memory.
Help me understand coroutine,Python Programming,coroutine,Advanced,A function defined with 'async def' that can pause execution with 'await'. Used in asynchronous programming.
Why do we use firewall?,Cybersecurity,firewall,Intermediate,"Network security system filtering traffic. Rules based on IP, port, protocol. Can be hardware or software. First line of defense."
What are the key concepts of code review?,Software Engineering,code review,Intermediate,"Examining code for bugs, style, and best practices. Improves code quality, knowledge sharing. Can be pair programming or pull request reviews."
Why do we use DevOps?,DevOps,DevOps,Intermediate,"Culture combining development and operations. Automates deployment, monitoring. Principles: collaboration, automation, continuous improvement. Speeds delivery."
I want to learn about policy,Reinforcement Learning,policy,Intermediate,Mapping from states to actions. Can be deterministic or stochastic. Learned through RL algorithms. Represents agent's behavior.
Explain how learning rate works,Deep Learning,learning rate,Beginner,Controls how much weights change per update. Too high: unstable training. Too low: slow convergence. Critical hyperparameter.
Explain operating system,Operating Systems,operating system,Intermediate,"Software managing hardware and providing services to applications. Functions: process management, memory management, file system, I/O management."
What should I know about version control?,Software Engineering,version control,Intermediate,"Tracking changes to code over time. Enables collaboration, rollback. Systems: Git (distributed), SVN (centralized)."
What should I know about monitoring?,DevOps,monitoring,Intermediate,"Observing system health and performance. Metrics, logs, traces. Alerts on issues. Tools: Prometheus, Grafana, DataDog, New Relic."
Could you tell me about integration testing?,Software Engineering,integration testing,Intermediate,Testing combined components. Verifies interfaces between modules work correctly. Can be incremental or big bang approach.
I want to learn about interface,Object-Oriented Programming,interface,Intermediate,Contract defining methods class must implement. No implementation (abstract). Class can implement multiple interfaces.
How do you implement CDN?,Cloud Computing,CDN,Intermediate,"Content Delivery Network distributes content globally. Caches content at edge locations. Reduces latency. Examples: CloudFront, Cloudflare."
Explain AJAX,Web Development,AJAX,Intermediate,Asynchronous JavaScript And XML enables updating pages without reload. Uses XMLHttpRequest or Fetch API. Improves user experience.
Explain splay tree to me,Data Structures,splay tree,Advanced,Self-adjusting BST that moves accessed elements closer to root. Recently accessed elements are fast to access again.
How can I use push?,Git & Version Control,push,Intermediate,Sending local commits to remote. git push. Updates remote repository. Requires permissions.
van Emde Boas tree definition,Data Structures,van Emde Boas tree,Advanced,Tree structure for integer keys. O(log log M) operations where M is universe size. Used for very fast priority queues.
unit testing definition,Software Engineering,unit testing,Intermediate,"Testing individual components in isolation. Automated tests written by developers. Fast feedback. Frameworks: JUnit, pytest, Jest."
context manager definition,Python Programming,context manager,Intermediate,Objects that define __enter__ and __exit__ methods for resource management. Used with 'with' statement.
What are the key concepts of design patterns?,Object-Oriented Programming,design patterns,Intermediate,"Reusable solutions to common problems. Creational (Singleton, Factory), Structural (Adapter, Decorator), Behavioral (Observer, Strategy)."
Why is composition important?,Object-Oriented Programming,composition,Intermediate,Has-a relationship. Object contains other objects. More flexible than inheritance. Favored over inheritance in many designs.
Explain relational database,Database Systems,relational database,Intermediate,"Stores data in tables with rows and columns. Tables related via foreign keys. Examples: MySQL, PostgreSQL, Oracle. Uses SQL."
How do you implement feature selection?,Machine Learning,feature selection,Intermediate,"Choosing relevant features and removing irrelevant ones. Methods: filter (statistical tests), wrapper (model performance), embedded (L1 regularization)."
I need to understand deque,Data Structures,deque,Beginner,Double-ended queue. Can add/remove from both ends. Supports both stack and queue operations.
Explain array,Data Structures,array,Beginner,"A contiguous block of memory storing elements of the same type. Fixed size. O(1) access by index, O(n) search. Foundation for other data structures."
Why is anomaly detection important?,Machine Learning,anomaly detection,Advanced,"Identifying unusual patterns. Methods: One-Class SVM, Isolation Forest, Autoencoders. Used in fraud detection, system health monitoring."
Help me understand memory management,Python Programming,memory management,Advanced,Python uses reference counting and garbage collection. Objects are freed when reference count reaches zero. Circular references handled by GC.
Tell me about stack,Data Structures,stack,Beginner,"LIFO (Last In First Out) data structure. Operations: push (add), pop (remove), peek (view top). Used in recursion, undo mechanisms."
Explain compression,Performance Optimization,compression,Advanced,"Reducing data size. Gzip, Brotli for web. Saves bandwidth. Slight CPU overhead. Usually worth it."
Explain precision-recall curve,Machine Learning,precision-recall curve,Advanced,Plots precision vs recall at various thresholds. Better than ROC for imbalanced datasets. Area under curve indicates quality.
I want to learn about reinforcement learning,Machine Learning,reinforcement learning,Beginner,"Learning by interacting with environment. Agent takes actions and receives rewards. Goal: maximize cumulative reward. Used in games, robotics."
I want to learn about validation data,Machine Learning,validation data,Beginner,Dataset used during training to tune hyperparameters and prevent overfitting. Separate from training and test sets.
Define array,Data Structures,array,Beginner,"A contiguous block of memory storing elements of the same type. Fixed size. O(1) access by index, O(n) search. Foundation for other data structures."
Help me understand AutoML,Machine Learning,AutoML,Advanced,"Automated Machine Learning automates model selection, hyperparameter tuning, and feature engineering. Tools: Auto-sklearn, TPOT, H2O AutoML."
I want to learn about CSS,Web Development,CSS,Intermediate,"Cascading Style Sheets control visual presentation. Defines layout, colors, fonts. Separates content from design. Supports responsive design."
Explain KNN,Machine Learning,KNN,Intermediate,K-Nearest Neighbors classifies based on majority vote of k nearest training examples. No training phase. Simple but slow for large datasets.
Help me understand training data,Machine Learning,training data,Beginner,Dataset used to teach the model. Contains features (inputs) and labels (outputs for supervised learning). Quality impacts model performance.
What do you mean by logistic regression?,Machine Learning,logistic regression,Intermediate,Classification algorithm despite name. Uses sigmoid function to output probabilities. Linear decision boundary. Used for binary classification.
Define code smell,Software Engineering,code smell,Intermediate,"Symptom indicating potential problem in code. Examples: long methods, duplicate code, large classes. Suggest refactoring needed."
What are the key concepts of neural architecture search?,Deep Learning,neural architecture search,Advanced,"Automatically discovering optimal network architectures. Methods: reinforcement learning, evolutionary algorithms, gradient-based. Computationally expensive."
Please tell me about Docker,Cloud Computing,Docker,Intermediate,Platform for containerizing applications. Packages app with dependencies. Consistent across environments. Lightweight. Uses images and containers.
Tell me about time series forecasting,Machine Learning,time series forecasting,Advanced,"Predicting future values based on temporal data. Methods: ARIMA, exponential smoothing, LSTM networks. Considers trends, seasonality, autocorrelation."
Help me understand version control,Software Engineering,version control,Intermediate,"Tracking changes to code over time. Enables collaboration, rollback. Systems: Git (distributed), SVN (centralized)."
Help me understand bloom filter,Data Structures,bloom filter,Advanced,Probabilistic data structure for membership testing. Can have false positives but no false negatives. Very space-efficient.
Can you describe CSS?,Web Development,CSS,Intermediate,"Cascading Style Sheets control visual presentation. Defines layout, colors, fonts. Separates content from design. Supports responsive design."
Explain foreign key,Database Systems,foreign key,Intermediate,Column referencing primary key of another table. Enforces referential integrity. Creates relationships between tables.
Help me understand property,Python Programming,property,Intermediate,A decorator that allows methods to be accessed like attributes. Provides controlled access to class attributes.
Help me understand GIL,Python Programming,GIL,Advanced,The Global Interpreter Lock is a mutex that protects Python objects. Prevents multiple threads from executing Python bytecode simultaneously. Impacts multi-threaded CPU-bound programs.
Help me understand metaclass programming,Python Programming,metaclass programming,Advanced,"Using metaclasses to customize class creation. Can add methods, validate attributes, or implement patterns like Singleton."
Can you explain actor-critic?,Reinforcement Learning,actor-critic,Intermediate,"Combines value function (critic) and policy (actor). Actor selects actions, critic evaluates. Reduces variance. A3C, PPO are variants."
Why should I learn thread?,Operating Systems,thread,Intermediate,Lightweight process. Threads within process share memory. Concurrent execution. Context switching faster than processes.
Tell me about function,Python Basics,function,Beginner,A reusable block of code defined with the 'def' keyword. Can accept parameters and return values. Helps organize code and avoid repetition.
Tell me about logistic regression,Machine Learning,logistic regression,Intermediate,Classification algorithm despite name. Uses sigmoid function to output probabilities. Linear decision boundary. Used for binary classification.
Could you explain memory management to me?,Python Programming,memory management,Advanced,Python uses reference counting and garbage collection. Objects are freed when reference count reaches zero. Circular references handled by GC.
Could you tell me about SQL injection?,Cybersecurity,SQL injection,Intermediate,"Attack inserting malicious SQL in input. Can read/modify database. Prevention: parameterized queries, input validation."
How can I use dot product?,Mathematics for AI,dot product,Beginner,Sum of element-wise products of vectors. Measures similarity. Used in neural networks for weighted sums.
heap definition,Data Structures,heap,Intermediate,Complete binary tree satisfying heap property. Max heap: parent ≥ children. Min heap: parent ≤ children. Used in priority queues.
I want to learn about ResNet,Computer Vision,ResNet,Intermediate,"Residual Network uses skip connections. Enables training very deep networks. Won ImageNet 2015. Variants: ResNet-50, ResNet-101."
Can you explain bagging?,Machine Learning,bagging,Intermediate,Bootstrap Aggregating trains models on random samples with replacement and averages predictions. Reduces variance. Random Forest uses bagging.
Why is validation data important?,Machine Learning,validation data,Beginner,Dataset used during training to tune hyperparameters and prevent overfitting. Separate from training and test sets.
Explain fine-tuning,Deep Learning,fine-tuning,Advanced,Training pre-trained model on specific task. Adjusts weights for target domain. Transfer learning technique. Much faster than training from scratch.
I want to learn about loss function,Deep Learning,loss function,Beginner,Measures difference between predictions and actual values. Regression: MSE. Classification: cross-entropy. Optimization minimizes loss.
Tell me about regression,Machine Learning,regression,Beginner,"Predicting continuous numerical values. Examples: house price, temperature, stock price. Output is a number."
Tell me about queue,Data Structures,queue,Beginner,"FIFO (First In First Out) data structure. Operations: enqueue (add at rear), dequeue (remove from front). Used in BFS, scheduling."
How can I use policy?,Reinforcement Learning,policy,Intermediate,Mapping from states to actions. Can be deterministic or stochastic. Learned through RL algorithms. Represents agent's behavior.
Explain feature selection to me,Machine Learning,feature selection,Intermediate,"Choosing relevant features and removing irrelevant ones. Methods: filter (statistical tests), wrapper (model performance), embedded (L1 regularization)."
I need to understand list,Python Basics,list,Beginner,"A list is an ordered, mutable collection that can hold different data types. Created with square brackets []. Supports indexing, slicing, append, insert, remove operations."
Help me understand load balancing,Performance Optimization,load balancing,Advanced,"Distributing traffic across servers. Improves availability and performance. Algorithms: round-robin, least connections. Hardware or software-based."
Help me understand Floyd-Warshall,Algorithms,Floyd-Warshall,Intermediate,Finds shortest paths between all pairs of vertices. Dynamic programming approach. O(V³) time. Works with negative edges.
Why do we use named entity recognition?,Natural Language Processing,named entity recognition,Intermediate,"Identifying and classifying named entities (person, organization, location). Used in information extraction, question answering."
Explain test case,Software Testing,test case,Intermediate,"Specific scenario to test. Includes inputs, execution conditions, expected results. Should be clear, repeatable."
How does cookies work?,Web Development,cookies,Intermediate,"Small data stored by browser. Used for session management, personalization, tracking. Set by server via HTTP headers."
I want to learn about precision-recall curve,Machine Learning,precision-recall curve,Advanced,Plots precision vs recall at various thresholds. Better than ROC for imbalanced datasets. Area under curve indicates quality.
Help me understand thread,Operating Systems,thread,Intermediate,Lightweight process. Threads within process share memory. Concurrent execution. Context switching faster than processes.
What exactly is rate limiting?,API Design,rate limiting,Intermediate,Restricting number of requests per time period. Prevents abuse. Returns 429 Too Many Requests. Helps ensure fair usage.
GIL definition,Python Programming,GIL,Advanced,The Global Interpreter Lock is a mutex that protects Python objects. Prevents multiple threads from executing Python bytecode simultaneously. Impacts multi-threaded CPU-bound programs.
How does JavaScript work?,Web Development,JavaScript,Intermediate,"Programming language that adds interactivity to web pages. Runs in browser. Manipulates DOM, handles events, makes API calls. Core of modern web."
Provide details on data augmentation,Deep Learning,data augmentation,Intermediate,"Artificially increasing dataset size by applying transformations: rotation, flip, crop, color jitter. Improves generalization, reduces overfitting."
Tell me about list,Python Basics,list,Beginner,"A list is an ordered, mutable collection that can hold different data types. Created with square brackets []. Supports indexing, slicing, append, insert, remove operations."
I want to learn about zero-shot learning,Deep Learning,zero-shot learning,Advanced,"Recognizing classes never seen during training. Uses semantic information (attributes, word embeddings) to bridge seen and unseen classes."
Help me understand encapsulation,Object-Oriented Programming,encapsulation,Intermediate,Bundling data and methods that operate on data. Hiding internal implementation. Access control via public/private/protected. Improves maintainability.
Explain versioning,API Design,versioning,Intermediate,"Managing API changes over time. Methods: URL versioning (/v1/), header versioning, query parameter. Ensures backward compatibility."
Explain semi-supervised learning,Machine Learning,semi-supervised learning,Advanced,"Uses both labeled and unlabeled data. Leverages large amount of unlabeled data with small labeled set. Methods: self-training, co-training, pseudo-labeling."
